2025-0502 15:46:06 INFO     未找到特征数据，将不使用特征。
2025-0502 15:46:06 DEBUG    word_embeds.weight: torch.Size([5168, 100]), require_grad=True
2025-0502 15:46:06 DEBUG    lstm.weight_ih_l0: torch.Size([400, 100]), require_grad=True
2025-0502 15:46:06 DEBUG    lstm.weight_hh_l0: torch.Size([400, 100]), require_grad=True
2025-0502 15:46:06 DEBUG    lstm.bias_ih_l0: torch.Size([400]), require_grad=True
2025-0502 15:46:06 DEBUG    lstm.bias_hh_l0: torch.Size([400]), require_grad=True
2025-0502 15:46:06 DEBUG    lstm.weight_ih_l0_reverse: torch.Size([400, 100]), require_grad=True
2025-0502 15:46:06 DEBUG    lstm.weight_hh_l0_reverse: torch.Size([400, 100]), require_grad=True
2025-0502 15:46:06 DEBUG    lstm.bias_ih_l0_reverse: torch.Size([400]), require_grad=True
2025-0502 15:46:06 DEBUG    lstm.bias_hh_l0_reverse: torch.Size([400]), require_grad=True
2025-0502 15:46:06 DEBUG    hidden2tag.weight: torch.Size([4, 200]), require_grad=True
2025-0502 15:46:06 DEBUG    hidden2tag.bias: torch.Size([4]), require_grad=True
2025-0502 15:46:06 DEBUG    crf.start_transitions: torch.Size([4]), require_grad=True
2025-0502 15:46:06 DEBUG    crf.end_transitions: torch.Size([4]), require_grad=True
2025-0502 15:46:06 DEBUG    crf.transitions: torch.Size([4, 4]), require_grad=True
2025-0502 15:46:44 DEBUG    epoch 0-step 100 loss: 29.645228
2025-0502 15:47:12 DEBUG    epoch 0-step 200 loss: 16.541159
2025-0502 15:47:42 DEBUG    epoch 0-step 300 loss: 13.175083
2025-0502 15:48:13 DEBUG    epoch 0-step 400 loss: 11.301305
2025-0502 15:48:32 INFO     precision: 0.865354
2025-0502 15:48:32 INFO     recall: 0.887656
2025-0502 15:48:32 INFO     fscore: 0.876363
2025-0502 15:48:32 INFO     model has been saved in save/CWS\model_epoch0.pkl
2025-0502 15:49:16 DEBUG    epoch 1-step 100 loss: 9.594444
2025-0502 15:50:15 DEBUG    epoch 1-step 200 loss: 8.934836
2025-0502 15:51:11 DEBUG    epoch 1-step 300 loss: 8.512968
2025-0502 15:51:45 DEBUG    epoch 1-step 400 loss: 8.073248
2025-0502 15:52:04 INFO     precision: 0.892738
2025-0502 15:52:04 INFO     recall: 0.909365
2025-0502 15:52:04 INFO     fscore: 0.900975
2025-0502 15:52:04 INFO     model has been saved in save/CWS\model_epoch1.pkl
2025-0502 15:52:33 DEBUG    epoch 2-step 100 loss: 7.581633
2025-0502 15:53:04 DEBUG    epoch 2-step 200 loss: 7.358108
